"";"name";"brewery";"beer_type";"alc";"blg";"fermentation";"price"
"381";"Pinta Hazy Discovery Stavanger 0,5l puszka";"pinta";"ipa";10,2;25;"top";14,99
"382";"Pinta Hazy Discovery Tallinn 0,5l puszka";"pinta";"ipa";10;25;"top";14,99
"383";"Pinta Hazy Discovery Vilnius 0,5l puszka";"pinta";"ipa";7,1;16,5;"top";13,99
"384";"Pinta Hazy Morning- But. 0,5l";"pinta";"apa";4,4;12;"top";8,49
"385";"Pinta Hop Detour 0,33l puszka";"pinta";"ipa";7,4;16;"top";18,99
"386";"Pinta Hoppy Crew How Far is It? 0,5l puszka";"pinta";"ipa";8,5;18;"top";10,98
"387";"Pinta Hoppy Crew Is It Enough? 0,5l puszka";"pinta";"ipa";7,1;16,5;"top";11,99
"388";"Pinta Hoppy Crew What’s So Funny? 0,5l puszka";"pinta";"ipa";8,1;20;"top";13,99
"389";"Pinta Hoppy Crew What’s Up? 0,5l puszka";"pinta";"ipa";8;20;"top";10,98
"390";"Pinta Hoppy Crew Where to Cut It? 0,5l puszka";"pinta";"ipa";7,2;16,5;"top";13,49
"391";"Pinta Hoppy Crew Who Wants Some? 0,5l puszka";"pinta";"ipa";8,6;20;"top";11,99
"392";"Pinta IIPPAA – Double Ipa- But. 0,5l";"pinta";"ipa";8,1;18;"top";9,99
"393";"Pinta Modern Drinking- But. 0,5l";"pinta";"ipa";6,5;15;"top";9,69
"394";"Pinta Oto Mata IPA- But. 0,5l";"pinta";"ipa";5,8;14;"top";9,99
"395";"Pinta Pierwsza pomoc- But. 0,5l";"pinta";"pils";4,1;10,5;"bottom";7,49
"396";"Pinta Risfactor Coffee & Maple 0,33l";"pinta";"stout";10;30;"top";14,49
"397";"Pinta Risfactor Vanilla & Coconut 0,33l";"pinta";"stout";10;30;"top";14,49
"398";"Pinta Simply the Best 0,5l puszka";"pinta";"ipa";7,4;16,5;"top";13,99
"399";"Pinta Wet Hop IPA – 0,5l puszka";"pinta";"ipa";6,8;16,5;"top";13,99
"400";"Pivovsky Banach 0,5l puszka";"pivovsky";"ipa";5,3;14;"top";12,99
"401";"Pivovsky Con – 0,5l puszka";"pivovsky";"ipa";5;14;"top";12,99
"402";"Pivovsky Funk – 500 ml puszka";"pivovsky";"ipa";5,5;14;"top";12,99
"403";"Pivovsky Sin – 500 ml puszka";"pivovsky";"ipa";5;14;"top";12,99
"404";"Pivovsky Tesla 0,5litra puszka";"pivovsky";"ipa";5,4;14;"top";12,99
"405";"Piwne Podziemie Angelico Stout 0,5l";"piwne podziemie";"stout";7,2;19;"top";10,98
"406";"Piwne Podziemie Biotransformers #3 0,5l";"piwne podziemie";"ipa";8,9;18;"top";14,39
"407";"Piwne Podziemie Black Dankness 0,5l puszka";"piwne podziemie";"ipa";6,6;16;"top";11,99
"408";"Piwne Podziemie Chmielokrata Ekuanot";"piwne podziemie";"ipa";6;15;"top";12,99
"409";"Piwne Podziemie Chmielokrata El Dorado";"piwne podziemie";"ipa";6;15;"top";12,99
"410";"Piwne Podziemie Chmielokrata HBC 586";"piwne podziemie";"ipa";6,2;15;"top";12,58
"411";"Piwne Podziemie Coffeelicious Special 0,5l";"piwne podziemie";"stout";6,3;18;"top";10,98
"412";"Piwne Podziemie Dank Side of the Moon 0,5l puszka";"piwne podziemie";"ipa";8;18;"top";14,49
"413";"Piwne Podziemie Double Ego 0,5l puszka";"piwne podziemie";"ipa";8,2;18;"top";12,99
"414";"Piwne Podziemie Juicy Trap #4 0,5l puszka";"piwne podziemie";"ipa";7,7;18;"top";13,99
"415";"Piwne Podziemie Juicy Trap #5 0,5l puszka";"piwne podziemie";"ipa";7,9;18;"top";14,29
"416";"Piwne Podziemie Juicy Trap #6 0,5l puszka";"piwne podziemie";"ipa";7,9;18;"top";14,29
"417";"Piwne Podziemie Juicy Trap #7 0,5l puszka";"piwne podziemie";"ipa";8;18;"top";14,99
